period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
90,195312,307330,130512286,499836,17,45017,13397,95801,2190918,27248,290216,4124,0.13
91,200625,310413,128900859,509093,17,45017,13397,96692,2210683,27248,290216,4124,0.43
92,209369,313225,129863711,525387,17,45017,13397,97661,2237849,27248,290216,4124,0.76
93,213310,316508,130835358,537018,17,45017,13397,98492,2260491,27248,290216,4124,0.56
94,217658,319775,131804411,546752,17,45017,13397,99559,2284289,27248,290216,4124,0.40
95,219592,323034,132777845,554094,17,45017,13397,100494,2306363,27248,290216,4124,0.33
96,219592,326300,133767151,555067,17,45017,13397,101081,2315231,27248,290216,4124,0.00
97,219592,329565,134759411,556152,17,45017,13397,101635,2321195,27248,290216,4124,0.00
98,220415,332807,135745155,559263,17,45017,13397,102428,2332763,27248,290216,4124,0.08
99,233258,335810,136701690,580981,17,45017,13397,103228,2362492,27248,290216,4124,1.16
100,241603,339039,137665731,594962,17,45017,13397,104186,2388247,27248,290216,4124,0.72
101,253543,342304,138620848,617121,17,45017,13397,104954,2419412,27248,290216,4124,1.16
102,256720,345543,139590292,628288,17,45017,13397,105757,2443553,27248,290216,4124,0.47
103,265105,348804,140553206,646120,17,45017,13397,106539,2470980,27248,290216,4124,0.89
104,265947,352044,141537631,649197,17,45017,13397,107426,2483315,27248,290216,4124,0.07
105,269721,355288,142508469,657904,17,45017,13397,108308,2505915,27248,290216,4124,0.37
106,272088,358199,143488481,663228,17,45017,13397,109432,2521824,27248,290216,4124,0.21
107,272088,361446,144479163,664138,17,45017,13397,110194,2529475,27248,290216,4124,0.00
108,272547,364090,145463928,666496,17,45017,13397,110916,2543700,27248,290216,4124,0.06
109,272547,367352,146457020,667462,17,45017,13397,111429,2548867,27248,290216,4124,0.00
110,272547,370595,147448949,668407,17,45017,13397,112088,2556145,27248,290216,4124,0.00
111,272547,373837,148441439,669312,17,45017,13397,112727,2562925,27248,290216,4124,0.00
112,272547,377082,152433245,670503,17,45017,13397,113234,2568971,27248,290216,4124,0.00
113,273650,380145,150424922,674237,17,45017,13397,113807,2578386,27248,290216,4124,0.07
114,279459,383553,151394027,686950,17,45017,13397,114755,2602154,27248,290216,4124,0.61
